experiment,module,shape,variant,device,dtype,repeat,warmup,num_parameters,estimated_weight_size_MB,fp32_weight_size_MB,fp16_weight_size_MB,int8_weight_size_MB,int4_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_quant,vlm_attention_k_proj_seq1024,"[1,1024,2048]->[1,1024,256]",fp16,cuda,float32,5,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,1.2861431741839624e-07,0.00028211320750415325,0.0022897720336914062,0.9999998807907104,0.0003586903039831668,0.05297699999573524,0.0025621295731096147
pi0_aligned_random_quant,vlm_attention_k_proj_seq1024,"[1,1024,2048]->[1,1024,256]",int8_fake_quant,cuda,float32,5,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.00025673594791442156,0.012789659202098846,0.07444000244140625,0.9998716711997986,0.01602574810385704,0.22246420001010847,0.004999290135835508
pi0_aligned_random_quant,vlm_attention_k_proj_seq1024,"[1,1024,2048]->[1,1024,256]",int4_weight_only_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022799817845225334,0.12001755833625793,0.7626579999923706,0.9887836575508118,0.15102215111255646,0.15386620001436313,0.0017062546581129356
pi0_aligned_random_quant,vlm_attention_k_proj_seq1024,"[1,1024,2048]->[1,1024,256]",w4a8_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022950146347284317,0.12041758000850677,0.7428632974624634,0.988711416721344,0.15151920914649963,0.21907600000758976,0.0026259222231232
pi0_aligned_random_quant,vlm_attention_v_proj_seq1024,"[1,1024,2048]->[1,1024,256]",fp32,cuda,float32,5,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,0.9999998807907104,0.0,0.11339220000081696,0.0005728732397469979
pi0_aligned_random_quant,vlm_attention_v_proj_seq1024,"[1,1024,2048]->[1,1024,256]",fp16,cuda,float32,5,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,1.2807745974896534e-07,0.00028190610464662313,0.0018508434295654297,0.9999999403953552,0.00035880052018910646,0.05282959999703962,0.0030305194604336974
pi0_aligned_random_quant,vlm_attention_v_proj_seq1024,"[1,1024,2048]->[1,1024,256]",int8_fake_quant,cuda,float32,5,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.0002485813165549189,0.012584872543811798,0.0762091875076294,0.9998751282691956,0.015807054936885834,0.21935559998382814,0.0022699245340555936
pi0_aligned_random_quant,vlm_attention_v_proj_seq1024,"[1,1024,2048]->[1,1024,256]",int4_weight_only_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022264614701271057,0.11866322159767151,0.7036838531494141,0.988986611366272,0.14959748089313507,0.1559836000183168,0.0033818602290876724
pi0_aligned_random_quant,vlm_attention_v_proj_seq1024,"[1,1024,2048]->[1,1024,256]",w4a8_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022392652928829193,0.11899016052484512,0.7173591256141663,0.9889244437217712,0.15002702176570892,0.21807839999610223,0.0009518826807407099
pi0_aligned_random_quant,vlm_attention_o_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",fp32,cuda,float32,5,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,1.0,0.0,0.7273120000036215,0.0016000111343074486
pi0_aligned_random_quant,vlm_attention_o_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",fp16,cuda,float32,5,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.2907023005936935e-07,0.0002827937132678926,0.0023603439331054688,1.0,0.0003592488938011229,0.27883180000571883,0.006975477802540337
